"place","date","lfs_event","protocols_used"
"Sydney",2006-09-18,1,"Johnston2011"
"Sydney",2006-09-19,1,"Johnston2011"
"Sydney",2006-09-20,1,"Johnston2011"
"Sydney",2006-09-21,1,"Johnston2011"
"Sydney",2006-09-22,1,"Johnston2011"
"Sydney",2006-09-23,1,"Johnston2011"
"Sydney",2006-09-24,1,"Johnston2011"
"Sydney",2006-09-25,1,"Johnston2011"
"Sydney",2006-09-26,1,"Johnston2011"
"Sydney",2006-09-27,1,"Johnston2011"
"Sydney",2006-09-28,1,"Johnston2011"
"Sydney",2006-09-29,1,"Johnston2011"
"Sydney",2006-09-30,1,"Johnston2011"
"Sydney",2006-10-01,1,"Johnston2011"
"Sydney",2006-10-02,1,"Johnston2011"
"Sydney",2006-10-03,1,"Johnston2011"
"Sydney",2006-10-04,1,"Johnston2011"
"Sydney",2006-10-05,1,"Johnston2011"
"Sydney",2006-10-06,1,"Johnston2011"
"Sydney",2006-10-07,1,"Johnston2011"
"Sydney",2006-10-08,1,"Johnston2011"
"Sydney",2006-10-09,1,"Johnston2011"
"Sydney",2006-10-10,1,"Johnston2011"
"Sydney",2006-10-11,1,"Johnston2011"
"Sydney",2006-10-12,1,"Johnston2011"
"Sydney",2006-10-13,1,"Johnston2011"
"Sydney",2006-10-14,1,"Johnston2011"
"Sydney",2006-10-15,1,"Johnston2011"
"Sydney",2006-10-16,1,"Johnston2011"
"Sydney",2006-10-17,1,"Johnston2011"
"Sydney",2006-10-18,1,"Johnston2011"
"Sydney",2006-10-19,1,"Johnston2011"
"Sydney",2006-10-20,1,"Johnston2011"
"Sydney",2006-10-21,1,"Johnston2011"
"Sydney",2006-10-22,1,"Johnston2011"
"Sydney",2006-10-23,1,"Johnston2011"
"Sydney",2006-10-24,1,"Johnston2011"
"Sydney",2006-10-25,1,"Johnston2011"
"Sydney",2006-10-26,1,"Johnston2011"
"Sydney",2006-10-27,1,"Johnston2011"
"Sydney",2006-10-28,1,"Johnston2011"
"Sydney",2006-10-29,1,"Johnston2011"
"Sydney",2006-10-30,1,"Johnston2011"
"Sydney",2006-10-31,1,"Johnston2011"
"Sydney",2006-11-01,1,"Johnston2011"
"Sydney",2006-11-02,1,"Johnston2011"
"Sydney",2006-11-03,1,"Johnston2011"
"Sydney",2006-11-04,1,"Johnston2011"
"Sydney",2006-11-05,1,"Johnston2011"
"Sydney",2006-11-06,1,"Johnston2011"
"Sydney",2006-11-07,1,"Johnston2011"
"Sydney",2006-11-08,1,"Johnston2011"
"Sydney",2006-11-09,1,"Johnston2011"
"Sydney",2006-11-10,1,"Johnston2011"
"Sydney",2006-11-11,1,"Johnston2011"
"Sydney",2006-11-12,1,"Johnston2011"
"Sydney",2006-11-13,1,"Johnston2011"
"Sydney",2006-11-14,1,"Johnston2011"
"Sydney",2006-11-15,1,"Johnston2011"
"Sydney",2006-11-16,1,"Johnston2011"
"Sydney",2006-11-17,1,"Johnston2011"
"Sydney",2006-11-18,1,"Johnston2011"
"Sydney",2006-11-19,1,"Johnston2011"
